GEOID,year,county-response-rate,us-response-rate
19141,2020,71.1,67
19143,2020,70.6,67
19145,2020,70.5,67
19151,2020,66.1,67
19157,2020,66.2,67
19159,2020,58,67
19161,2020,65.8,67
19163,2020,73.6,67
19167,2020,77.2,67
19169,2020,70.8,67
19179,2020,66.8,67
19171,2020,68.8,67
19175,2020,69.7,67
19177,2020,60.9,67
19183,2020,72.6,67
19185,2020,61.5,67
19187,2020,68.6,67
19191,2020,74.7,67
19193,2020,70.1,67
19197,2020,64.9,67
19101,2020,68.8,67
19109,2020,71,67
19117,2020,66,67
19125,2020,74.9,67
19133,2020,66.7,67
19139,2020,73,67
19147,2020,65.1,67
19155,2020,72.3,67
19165,2020,73.2,67
19173,2020,66.3,67
19181,2020,75.5,67
19189,2020,71.6,67
19195,2020,72.1,67
19153,2020,72.7,67
19053,2020,59.3,67
19149,2020,76.3,67
19047,2020,68.5,67
40001,2020,39.3,67
40003,2020,47.5,67
40005,2020,51.1,67
40007,2020,39,67
40009,2020,49.2,67
40011,2020,42.7,67
40013,2020,57.2,67
40015,2020,39.9,67
40017,2020,72.6,67
40019,2020,58.6,67
40021,2020,54.4,67
40023,2020,46.6,67
40025,2020,33.8,67
40027,2020,70.2,67
40029,2020,44.3,67
40031,2020,59.5,67
40033,2020,47.8,67
40035,2020,55,67
40037,2020,61.1,67
40039,2020,56.2,67
40041,2020,44,67
40043,2020,40.9,67
40045,2020,40.2,67
40047,2020,66,67
40049,2020,50.8,67
40051,2020,61.9,67
40053,2020,50.6,67
40055,2020,48,67
40057,2020,45.9,67
40061,2020,47.9,67
40063,2020,46.8,67
40065,2020,55.1,67
40067,2020,40.8,67
40069,2020,47.6,67
40071,2020,63.6,67
40073,2020,57.4,67
40075,2020,47.7,67
40077,2020,45.5,67
40079,2020,54.5,67
40081,2020,55.7,67
40083,2020,66.3,67
40085,2020,47.3,67
40087,2020,64.8,67
40089,2020,46.4,67
40091,2020,32.4,67
40093,2020,57.8,67
40095,2020,31.2,67
40097,2020,52.6,67
40099,2020,52,67
40101,2020,56.3,67
40103,2020,60.6,67
40105,2020,52,67
40107,2020,42.2,67
40109,2020,66.1,67
40111,2020,55.6,67
40113,2020,49.4,67
40119,2020,60.8,67
40115,2020,56.4,67
40123,2020,58.1,67
40117,2020,47.9,67
40121,2020,38.5,67
40125,2020,64.4,67
40127,2020,39.4,67
40129,2020,44.8,67
40131,2020,70,67
40133,2020,51.1,67
40135,2020,47.3,67
40137,2020,59,67
40139,2020,50.2,67
40141,2020,48,67
40143,2020,67.6,67
40145,2020,68.8,67
40147,2020,67.9,67
40149,2020,51.8,67
40151,2020,53.4,67
40153,2020,54.8,67
40059,2020,44.3,67
55001,2020,42.2,67
55003,2020,54,67
55005,2020,66.5,67
55007,2020,39,67
55009,2020,79.3,67
55011,2020,69.5,67
55013,2020,39.1,67
55015,2020,83.6,67
55017,2020,77.3,67
55019,2020,68.3,67
55021,2020,75.2,67
55023,2020,61.1,67
55025,2020,78.3,67
55027,2020,78,67
55029,2020,48.7,67
55031,2020,65.9,67
55033,2020,74.1,67
55035,2020,80.8,67
55037,2020,36.1,67
55039,2020,77.8,67
55041,2020,35.8,67
55043,2020,72.2,67
55045,2020,75.1,67
55047,2020,63,67
55049,2020,76.5,67
55051,2020,40.4,67
55053,2020,64.7,67
55055,2020,78.4,67
55057,2020,55.9,67
55059,2020,74.1,67
55061,2020,76.2,67
55063,2020,73.6,67
55065,2020,74.7,67
55067,2020,56.9,67
55069,2020,62.3,67
55071,2020,78.3,67
55073,2020,78.7,67
55075,2020,51.8,67
55081,2020,72,67
55077,2020,54.6,67
55078,2020,30.3,67
55079,2020,68.8,67
55083,2020,58.4,67
55085,2020,46.7,67
55087,2020,82.4,67
55089,2020,84.9,67
55091,2020,71.4,67
55093,2020,75.5,67
55095,2020,62.4,67
55097,2020,78.5,67
55099,2020,48.4,67
55101,2020,76.2,67
55103,2020,64,67
55105,2020,77.3,67
55107,2020,55.8,67
55109,2020,82.3,67
55111,2020,71.6,67
55113,2020,36.1,67
48001,2020,53.7,67
48003,2020,57,67
48005,2020,57.3,67
48119,2020,55.2,67
48121,2020,71.4,67
48123,2020,54,67
48125,2020,41.1,67
48129,2020,38.5,67
48131,2020,28.9,67
48135,2020,52.7,67
48137,2020,18.8,67
48139,2020,71.4,67
48143,2020,51.4,67
48145,2020,48.9,67
48147,2020,58.9,67
48151,2020,51.1,67
48153,2020,46.7,67
48155,2020,29.8,67
48159,2020,47.4,67
48161,2020,46.6,67
48163,2020,43.8,67
48167,2020,60.6,67
48169,2020,44.6,67
48171,2020,58.6,67
48175,2020,49.9,67
48177,2020,47,67
48179,2020,54,67
48183,2020,62.4,67
48185,2020,50,67
48191,2020,43.2,67
48193,2020,52.8,67
48197,2020,44.2,67
48007,2020,39.5,67
48009,2020,58,67
48011,2020,52.2,67
48013,2020,46.1,67
48015,2020,57.9,67
48017,2020,50.6,67
48019,2020,48.6,67
48021,2020,58.2,67
48029,2020,67.3,67
48023,2020,40.8,67
48025,2020,47.4,67
48027,2020,63,67
48031,2020,52.2,67
48033,2020,39,67
48035,2020,52.1,67
48037,2020,60.2,67
48039,2020,64.1,67
48041,2020,59.1,67
48043,2020,36.2,67
48045,2020,42.3,67
48047,2020,39.8,67
48049,2020,54.5,67
48051,2020,46.1,67
48053,2020,59.3,67
48055,2020,57.5,67
48057,2020,38.8,67
48059,2020,57.1,67
48061,2020,52.5,67
48063,2020,52.6,67
48065,2020,55,67
48067,2020,54.1,67
48069,2020,44.5,67
48071,2020,56.6,67
48075,2020,53.4,67
48077,2020,61.2,67
48083,2020,43.7,67
48085,2020,73.8,67
48089,2020,54,67
48091,2020,68.5,67
48093,2020,52.3,67
48095,2020,31.2,67
48099,2020,61.5,67
48101,2020,34.1,67
48105,2020,31.2,67
48107,2020,43.4,67
48109,2020,25.4,67
48113,2020,63.9,67
48115,2020,52.3,67
55115,2020,68.6,67
55117,2020,79.4,67
55119,2020,66.7,67
55121,2020,71.3,67
55123,2020,64.7,67
55125,2020,32.8,67
55127,2020,64.1,67
55129,2020,47.5,67
55131,2020,84.6,67
55133,2020,84.4,67
55135,2020,70.6,67
55137,2020,52.9,67
55139,2020,79.8,67
55141,2020,79.2,67
54003,2020,70.7,67
54005,2020,51.2,67
54007,2020,51.6,67
54009,2020,62,67
54011,2020,58.8,67
54013,2020,43.5,67
54021,2020,55.7,67
54015,2020,46,67
54017,2020,45.4,67
54019,2020,47.7,67
54023,2020,50.3,67
54025,2020,49.1,67
54027,2020,37.9,67
54029,2020,68.5,67
54031,2020,47.9,67
54033,2020,58.7,67
54035,2020,60.6,67
54037,2020,73.5,67
54039,2020,63.1,67
54041,2020,65.9,67
54043,2020,44.5,67
54045,2020,33.5,67
54047,2020,24,67
54049,2020,60.4,67
54051,2020,62.9,67
54053,2020,57,67
54055,2020,53.1,67
54057,2020,62,67
54059,2020,28.3,67
54061,2020,60.9,67
54063,2020,34.5,67
54065,2020,56.6,67
